Unique_ID,S3,S3_order,Taxa,Species,x_g,y_g,logx_g,logy_g,Reference,Group,Order,Family,Genus,Replicate,Notes
29,24,25,Mammal,Cervus elaphus,220000,52713.3442,5.342422681,4.721920569,This Study,Eutherian,Artiodactyla,Cervidae,Cervus,3,
30,24,25,Mammal,Connochaetes taurinus,180426.3652,28868.21843,5.2563,4.460419983,"Krebs et al. 1999; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Connochaetes,4,African ecosystems
31,24,25,Mammal,Connochaetes taurinus,180426.3652,50519.38226,5.2563,4.703458031,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Bovidae,Connochaetes,4,African ecosystems
32,24,25,Mammal,Connochaetes taurinus,177300,47871,5.248708736,4.6800725,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Artiodactyla,Bovidae,Connochaetes,3,African ecosystems
33,24,25,Mammal,Connochaetus taurinus,163000,32409.72521,5.212187604,4.510675349,This Study,Eutherian,Artiodactyla,Bovidae,Connochaetus,3,African ecosystems
34,24,25,Mammal,Damaliscus lunatus,118658.8131,34648.37343,5.0743,4.539682851,"Sinclair 1995; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Damaliscus,2,African ecosystems
35,24,25,Mammal,Damaliscus lunatus,108000,22140.78192,5.033423755,4.345192954,This Study,Eutherian,Artiodactyla,Bovidae,Damaliscus,2,African ecosystems
36,24,25,Mammal,Gazella dorcas,12600,8272.727273,4.100370545,3.917648707,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Gazella,2,
37,24,25,Mammal,Gazella dorcas,12950,5827.5,4.112269768,3.765482282,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Gazella,2,
38,24,25,Mammal,Gazella thomsoni,20900,9823,4.320146286,3.992244144,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Gazella,2,African ecosystems
39,24,25,Mammal,Gazella thomsoni,18000,7217.40204,4.255272505,3.858380898,This Study,Eutherian,Artiodactyla,Bovidae,Gazella,2,African ecosystems
40,24,25,Mammal,Giraffa camelopardalis,800018.4449,112002.5823,5.9031,5.049228036,"Foster and Kearney 1967; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Giraffidae,Giraffa,2,
41,24,25,Mammal,Giraffe camelopardalis,750000,75748.32,5.875061263,4.879373005,This Study,Eutherian,Artiodactyla,Giraffidae,Giraffe,2,
42,24,25,Mammal,Hippopotamus amphibius,1387500,159405.8791,6.142232992,5.202504335,Ernest et al. 2003,Eutherian,Artiodactyla,Hippopotamidae,Hippopotamus,2,
43,24,25,Mammal,Hippopotamus amphibius,1350000,110201.904,6.130333768,5.042189098,This Study,Eutherian,Artiodactyla,Hippopotamidae,Hippopotamus,2,
44,24,25,Mammal,Kobus ellipsiprymnus,143152.8504,37219.7411,5.1558,4.570773348,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Bovidae,Kobus,3,African ecosystems
45,24,25,Mammal,Kobus ellipsiprymnus,143152.8504,41514.32662,5.1558,4.618197998,"Foster and Kearney 1967; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Kobus,3,African ecosystems
46,24,25,Mammal,Kobus ellipsiprymnus,180000,31356.144,5.255272505,4.49632265,This Study,Eutherian,Artiodactyla,Bovidae,Kobus,2,African ecosystems
47,24,25,Mammal,Madoqua kirkii,5377,3495.05,3.730540036,3.543453393,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Madoqua,3,African ecosystems
48,24,25,Mammal,Madoqua kirkii,5065,2956.401384,3.70457945,3.470763397,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Madoqua,3,African ecosystems
49,24,25,Mammal,Madoqua kirkii,5100,1875.212319,3.707570176,3.273050447,This Study,Eutherian,Artiodactyla,Bovidae,Madoqua,3,African ecosystems
50,24,25,Mammal,Mazama americana,24501.91337,9800.765348,4.3892,3.991259991,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Cervidae,Mazama,2,
51,24,25,Mammal,Mazama americana,22000,3520,4.342422681,3.546542663,Pereira and Daily 2006,Eutherian,Artiodactyla,Cervidae,Mazama,2,
52,24,25,Mammal,Mazama gouazoubira,16500,1980,4.217483944,3.29666519,Pereira and Daily 2006,Eutherian,Artiodactyla,Cervidae,Mazama,2,
53,24,25,Mammal,Mazama gouazoupira,16998.08513,8329.061714,4.2304,3.92059608,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Cervidae,Mazama,2,
54,24,25,Mammal,Odocoileus hemionus,52808.03408,11776.1916,4.7227,4.071004863,"Hatter and Janz 1994; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Odocoileus,2,
55,24,25,Mammal,Odocoileus hemionus,55766.66667,29665.77689,4.746374686,4.472255726,Ernest et al. 2003,Eutherian,Artiodactyla,Cervidae,Odocoileus,2,
56,24,25,Mammal,Odocoileus virginianus,56806.75741,41468.93291,4.7544,4.61772286,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Cervidae,Odocoileus,5,
57,24,25,Mammal,Odocoileus virginianus,56806.75741,27267.24356,4.7544,4.435641237,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Cervidae,Odocoileus,5,
58,24,25,Mammal,Odocoileus virginianus,57000,57671.50864,4.755874856,4.760961312,Ernest et al. 2003,Eutherian,Artiodactyla,Cervidae,Odocoileus,4,
59,24,25,Mammal,Odocoileus virginianus,34000,10540,4.531478917,4.022840611,Pereira and Daily 2006,Eutherian,Artiodactyla,Cervidae,Odocoileus,4,
60,24,25,Mammal,Odocoileus virginianus,70000,32799.0607,4.84509804,4.515861407,This Study,Eutherian,Artiodactyla,Cervidae,Odocoileus,4,
61,24,25,Mammal,Ovis canadensis,67889.09198,23761.18219,4.8318,4.375868044,"McCullough 1992; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Ovis,4,
62,24,25,Mammal,Ovis canadensis,67889.09198,16972.273,4.8318,4.229740009,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Bovidae,Ovis,4,
63,24,25,Mammal,Ovis canadensis,71000,29680,4.851258349,4.472463897,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Ovis,3,
64,24,25,Mammal,Ovis canadensis,50000,14817.2455,4.698970004,4.170767477,This Study,Eutherian,Artiodactyla,Bovidae,Ovis,3,
65,24,25,Mammal,Rangifer tarandus,113005.609,42942.13142,5.0531,4.632883597,"Caughley and Krebs 1983; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Rangifer,10,
66,24,25,Mammal,Rangifer tarandus,113005.609,33901.6827,5.0531,4.530221255,"Skogland 1985; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Rangifer,10,
67,24,25,Mammal,Rangifer tarandus,113005.609,32771.62661,5.0531,4.515497998,"Bergerud et al. 1983; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Rangifer,10,
68,24,25,Mammal,Rangifer tarandus,113005.609,26104.29568,5.0531,4.41671198,"Caughley and Gunn 1993; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Rangifer,10,
69,24,25,Mammal,Rangifer tarandus,113005.609,27573.3686,5.0531,4.440489826,"Heard and Ouellet 1994; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Rangifer,10,
70,24,25,Mammal,Rangifer tarandus,113005.609,36161.79488,5.0531,4.558249978,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Cervidae,Rangifer,10,
71,24,25,Mammal,Rangifer tarandus,113005.609,53112.63623,5.0531,4.725197858,"Scheffer 1951; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Rangifer,10,
72,24,25,Mammal,Rangifer tarandus,113005.609,57632.86059,5.0531,4.760670176,"Scheffer 1951; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Rangifer,10,
73,24,25,Mammal,Rangifer tarandus,94800,29374.8,4.976808337,4.467974918,Ernest et al. 2003,Eutherian,Artiodactyla,Cervidae,Rangifer,3,
74,24,25,Mammal,Rangifer tarandus,90000,23237.1981,4.954242509,4.36618376,This Study,Eutherian,Artiodactyla,Cervidae,Rangifer,3,
75,24,25,Mammal,Sus scrofa,93497.50031,74050.02025,4.9708,4.869525182,"Choquenot 1998; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Suidae,Sus,3,African ecosystems
76,24,25,Mammal,Sus scrofa,100900,68551.08951,5.003891166,4.836014362,Ernest et al. 2003,Eutherian,Artiodactyla,Suidae,Sus,3,African ecosystems
77,24,25,Mammal,Sus scrofa,38000,38591.48254,4.579783597,4.586491463,This Study,Eutherian,Artiodactyla,Suidae,Sus,3,African ecosystems
78,24,25,Mammal,Syncerus caffer,476540.7017,138196.8035,5.6781,5.140497998,"Sinclair 1996; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Syncerus,4,African ecosystems
79,24,25,Mammal,Syncerus caffer,532000,98548.81266,5.725911632,4.993651396,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Syncerus,4,African ecosystems
80,24,25,Mammal,Syncerus caffer,488750,229712.5,5.68908677,5.361184628,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Artiodactyla,Bovidae,Syncerus,4,African ecosystems
81,24,25,Mammal,Syncerus caffer,520000,56772.9032,5.716003344,4.754141103,This Study,Eutherian,Artiodactyla,Bovidae,Syncerus,4,African ecosystems
82,24,25,Mammal,Taurotragus oryx,277651.4846,63859.84146,5.4435,4.805227836,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Bovidae,Taurotragus,2,African ecosystems
83,24,25,Mammal,Taurotragus oryx,380000,80333.368,5.579783597,4.904895975,This Study,Eutherian,Artiodactyla,Bovidae,Taurotragus,2,African ecosystems
84,24,25,Mammal,Tragelaphus scriptus,31100,12440,4.492760389,4.09482038,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Tragelaphus,2,African ecosystems
85,24,25,Mammal,Tragelaphus scriptus,35000,11081.5677,4.544068044,4.044601204,This Study,Eutherian,Artiodactyla,Bovidae,Tragelaphus,2,African ecosystems
86,24,25,Mammal,Tragelaphus strepsiceros,204456.0659,78715.58537,5.3106,4.896060729,"Owen-Smith 1990; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Tragelaphus,2,African ecosystems
87,24,25,Mammal,Tragelaphus strepsiceros,170000,28816.5181,5.230448921,4.459641504,This Study,Eutherian,Artiodactyla,Bovidae,Tragelaphus,2,African ecosystems
88,24,25,Mammal,Alcelaphus buselaphus,125000,25414.81875,5.096910013,4.405087017,This Study,Eutherian,Artiodactyla,Bovidae,Alcelaphus,0,African ecosystems
89,24,25,Mammal,Antilope cervicapra,32000,11141.96768,4.505149978,4.046961894,This Study,Eutherian,Artiodactyla,Bovidae,Antilope,0,
90,24,25,Mammal,Axis axis,53000,12354.73195,4.72427587,4.091833327,This Study,Eutherian,Artiodactyla,Cervidae,Axis,0,
91,24,25,Mammal,Axis porcinus,27000,9157.90806,4.431363764,3.961796279,This Study,Eutherian,Artiodactyla,Cervidae,Axis,0,
92,24,25,Mammal,Bos gaurus,850000,129751.5565,5.929418926,5.113112576,This Study,Eutherian,Artiodactyla,Bovidae,Bos,0,
93,24,25,Mammal,Bos taurus,526865.7897,284507.5264,5.7217,5.45409376,"Skeat 1990; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bos,3,
94,24,25,Mammal,Bos taurus,526865.7897,284507.5264,5.7217,5.45409376,"Skeat 1990; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bos,3,
95,24,25,Mammal,Bos taurus,526865.7897,136985.1053,5.7217,5.136673348,"Eberhardt 1987; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bos,3,
96,24,25,Mammal,Boselaphus tragocamelus,169000,46708.87065,5.227886705,4.669399367,This Study,Eutherian,Artiodactyla,Bovidae,Boselaphus,0,
97,24,25,Mammal,Capra hircus,49602.09274,21080.88941,4.6955,4.32388893,"Parkes et al. 1996; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Capra,3,
98,24,25,Mammal,Capra hircus,49602.09274,19592.82663,4.6955,4.292097096,"Mahood 1985; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Capra,3,
99,24,25,Mammal,Capra hircus,49602.09274,20535.26639,4.6955,4.312500341,"Maas 1997; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Capra,3,
100,24,25,Mammal,Capra ibex,61560.19686,16128.77158,4.7893,4.207601291,"Loison et al. 2002; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Capra,0,
101,24,25,Mammal,Capreolus capreolus,21042.62908,4839.804688,4.3231,3.684827836,"Caughley 1977; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Capreolus,2,
102,24,25,Mammal,Capreolus capreolus,21042.62908,10100.46196,4.3231,4.004341237,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Cervidae,Capreolus,2,
103,24,25,Mammal,Capreolus pygargus,39450,49044.29227,4.596047008,4.690588472,Ernest et al. 2003,Eutherian,Artiodactyla,Cervidae,Capreolus,0,
104,24,25,Mammal,Cephalophus maxwelli,8000,4400,3.903089987,3.643452676,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Cephalophus,0,
105,24,25,Mammal,Cephalophus silvicultor,62500,20512.5,4.795880017,4.312018594,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Cephalophus,0,
106,24,25,Mammal,Cervus duvaucelii,159000,31533.42378,5.201397124,4.498771127,This Study,Eutherian,Artiodactyla,Cervidae,Cervus,0,
107,24,25,Mammal,Cervus unicolor,212000,47820.08528,5.326335861,4.679610346,This Study,Eutherian,Artiodactyla,Cervidae,Cervus,0,
108,24,25,Mammal,Dama dama,39000,22924.14965,4.591064607,4.360293235,Ernest et al. 2003,Eutherian,Artiodactyla,Cervidae,Dama,0,
109,24,25,Mammal,Dicotyles pecari,33500,10385,4.525044807,4.016406501,Pereira and Daily 2006,Eutherian,Artiodactyla,Tayassuidae,Dicotyles,0,
110,24,25,Mammal,Gazella granti,45000,8824.8789,4.653212514,3.945708754,This Study,Eutherian,Artiodactyla,Bovidae,Gazella,0,African ecosystems
111,24,25,Mammal,Gazella subgutturosa,25500,19478.57143,4.40654018,4.289557102,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Gazella,0,
112,24,25,Mammal,Hemitragus hylocrius,90000,30696.093,4.954242509,4.487083102,This Study,Eutherian,Artiodactyla,Bovidae,Hemitragus,0,
113,24,25,Mammal,Hemitragus jemlahicus,35595.9018,9966.852504,4.5514,3.998558031,"Forsyth 1999; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Hemitragus,0,
114,24,25,Mammal,Hippotragus equinus,260000,61866.0406,5.414973348,4.791452322,This Study,Eutherian,Artiodactyla,Bovidae,Hippotragus,0,African ecosystems
115,24,25,Mammal,Hippotragus niger,220000,43280.721,5.342422681,4.636294487,This Study,Eutherian,Artiodactyla,Bovidae,Hippotragus,0,African ecosystems
116,24,25,Mammal,Madoqua guentheri,4550,5651,3.658011397,3.752125307,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Madoqua,0,
117,24,25,Mammal,Moschiola meminna,5000,3229.2485,3.698970004,3.509101467,This Study,Eutherian,Artiodactyla,Tragulidae,Moschiola,0,
118,24,25,Mammal,Muntiacus muntjak,16600,6592.898662,4.220108088,3.8190764,This Study,Eutherian,Artiodactyla,Cervidae,Muntiacus,0,
119,24,25,Mammal,Muntiacus reevesi,12733,5475.19,4.104930739,3.738399195,Fagan et. al. 2009,Eutherian,Artiodactyla,Cervidae,Muntiacus,0,
120,24,25,Mammal,Naemorhedus goral,26000,5714.40324,4.414973348,3.756970883,This Study,Eutherian,Artiodactyla,Bovidae,Naemorhedus,0,
121,24,25,Mammal,Oreotragus oreotragus,13000,4343.22954,4.113943352,3.637812782,This Study,Eutherian,Artiodactyla,Bovidae,Oreotragus,0,African ecosystems
122,24,25,Mammal,Oryx beisa,162000,40780.50948,5.209515015,4.610452647,This Study,Eutherian,Artiodactyla,Bovidae,Oryx,0,African ecosystems
123,24,25,Mammal,Oryx leucoryx,147808.7009,37247.79263,5.1697,4.571100541,"Stanley-Price 1989; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Oryx,0,
124,24,25,Mammal,Ourebia ourebi,13000,4403.31515,4.113943352,3.643779769,This Study,Eutherian,Artiodactyla,Bovidae,Ourebia,0,African ecosystems
125,24,25,Mammal,Ovibos moschatus,227143.3361,49971.53394,5.3563,4.698722681,"La Henaff and Crete 1989; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Ovibos,0,
126,24,25,Mammal,Ovis aries,34641.7641,11951.40861,4.5396,4.077419095,"Clutton-Brock et al. 1991; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Ovis,0,
127,24,25,Mammal,Ovis dalli,50000,11203.063,4.698970004,4.049336778,This Study,Eutherian,Artiodactyla,Bovidae,Ovis,0,
128,24,25,Mammal,Pecari tajacu,19032.68238,23790.85298,4.2795,4.376410013,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Tayassuidae,Pecari,0,
129,24,25,Mammal,Phacochoerus africanus,57000,25478.25216,4.755874856,4.406169632,This Study,Eutherian,Artiodactyla,Suidae,Phacochoerus,0,African ecosystems
130,24,25,Mammal,Potamochoerus larvatus,70000,31829.9849,4.84509804,4.502836433,This Study,Eutherian,Artiodactyla,Suidae,Potamochoerus,0,African ecosystems
131,24,25,Mammal,Pudu pudu,8200,3854,3.913813852,3.58591171,Fagan et. al. 2009,Eutherian,Artiodactyla,Cervidae,Pudu,0,
132,24,25,Mammal,Raphicerus campestris,11000,4149.38744,4.041392685,3.617983988,This Study,Eutherian,Artiodactyla,Bovidae,Raphicerus,0,African ecosystems
133,24,25,Mammal,Raphicerus sharpei,9200,3108.611092,3.963787827,3.492566392,This Study,Eutherian,Artiodactyla,Bovidae,Raphicerus,0,African ecosystems
134,24,25,Mammal,Redunca fulvorufula,29300,9962,4.46686762,3.998346537,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Redunca,0,
135,24,25,Mammal,Redunca redunca,40000,7760.362,4.602059991,3.88988198,This Study,Eutherian,Artiodactyla,Bovidae,Redunca,0,
136,24,25,Mammal,Rupicapra pyrenaica,23999.37877,5903.847177,4.3802,3.771135107,"Loison et al. 2002; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Rupicapra,0,
137,24,25,Mammal,Saiga tatarica,29000,24196.875,4.462397998,4.383759281,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Saiga,0,
138,24,25,Mammal,Sylvicapra grimmia,12900,4650.26682,4.11058971,3.667477872,This Study,Eutherian,Artiodactyla,Bovidae,Sylvicapra,0,African ecosystems
139,24,25,Mammal,Sylvicapra grimmia,16993,9176.22,4.230270057,3.962663817,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Sylvicapra,0,African ecosystems
140,24,25,Mammal,Tayassu pecari,31038.44819,26072.29648,4.4919,4.416179286,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Tayassuidae,Tayassu,0,
141,24,25,Mammal,Tayassu tajacu,19000,7790,4.278753601,3.891537458,Pereira and Daily 2006,Eutherian,Artiodactyla,Tayassuidae,Tayassu,0,
142,24,25,Mammal,Tetracerus quadricornis,27000,10839.17079,4.431363764,4.034996059,This Study,Eutherian,Artiodactyla,Bovidae,Tetracerus,0,
143,24,25,Mammal,Tragelaphus angasii,58000,14021.74302,4.763427994,4.146802003,This Study,Eutherian,Artiodactyla,Bovidae,Tragelaphus,0,
144,24,25,Mammal,Tragulus javanicus,1460,759.2,3.164352856,2.880356199,Fagan et. al. 2009,Eutherian,Artiodactyla,Tragulidae,Tragulus,0,
145,24,26,Mammal,Acinonyx jubatus,60000,3828.396,4.77815125,3.583016854,Ernest et al. 2003,Eutherian,Carnivora,Felidae,Acinonyx,2,African ecosystems
146,24,26,Mammal,Acinonyx jubatus,43000,15962.72144,4.633468456,4.203106935,This Study,Eutherian,Carnivora,Felidae,Acinonyx,2,African ecosystems
147,24,26,Mammal,Arctocephalus gazella,49385.56196,10864.82363,4.6936,4.036022681,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Carnivora,Otariidae,Arctocephalus,3,
148,24,26,Mammal,Arctocephalus gazella,49385.56196,7654.762104,4.6936,3.883931698,"Skinner and van Aarde 1983; after Duncan et al. 2007, method: count",Eutherian,Carnivora,Otariidae,Arctocephalus,3,
149,24,26,Mammal,Arctocephalus gazella,40500,14703.1907,4.607455023,4.16741159,Ernest et al. 2003,Eutherian,Carnivora,Otariidae,Arctocephalus,2,
150,24,26,Mammal,Arctocephalus pusillus,79000,18122.56465,4.897627091,4.258219658,Ernest et al. 2003,Eutherian,Carnivora,Otariidae,Arctocephalus,2,
151,24,26,Mammal,Arctocephalus pusillus,76667,6900.03,4.88460847,3.838850979,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Carnivora,Otariidae,Arctocephalus,2,
152,24,26,Mammal,Bassaricyon gabbii,1235,605.15,3.091666958,2.781863038,Fagan et. al. 2009,Eutherian,Carnivora,Procyonidae,Bassaricyon,2,
153,24,26,Mammal,Bassaricyon gabbii,1250,225,3.096910013,2.352182518,Pereira and Daily 2006,Eutherian,Carnivora,Procyonidae,Bassaricyon,2,
154,24,26,Mammal,Bassariscus astutus,870,589.503125,2.939519253,2.770486112,Ernest et al. 2003,Eutherian,Carnivora,Procyonidae,Bassariscus,2,
155,24,26,Mammal,Bassariscus astutus,870,913.5,2.939519253,2.960708552,Fagan et. al. 2009,Eutherian,Carnivora,Procyonidae,Bassariscus,2,
